2018/06/02 15:47:32:30330,101220,13.1
2018/06/02 15:47:32:30350,101240,12.6
2018/06/02 15:47:32:30370,101260,12.1
2018/06/02 15:47:32:30390,101280,11.5
2018/06/02 15:47:32:30410,101300,11
2018/06/02 15:47:32:30430,101320,10.4
2018/06/02 15:47:32:30450,101340,9.9
2018/06/02 15:47:32:30470,101360,9.4
2018/06/02 15:47:32:30490,101380,9.1
2018/06/02 15:47:32:30510,101400,8.7
2018/06/02 15:47:32:30530,101420,8.5
2018/06/02 15:47:32:30550,101440,8.3
2018/06/02 15:47:32:30570,101460,8.2
2018/06/02 15:47:32:30590,101480,8
2018/06/02 15:47:32:30610,101500,7.9
2018/06/02 15:47:32:30630,101520,7.9
2018/06/02 15:47:32:30650,101540,7.8
2018/06/02 15:47:32:30670,101560,7.8
2018/06/02 15:47:32:30690,101580,7.7
2018/06/02 15:47:32:30710,101600,7.6
2018/06/02 15:47:32:30730,101620,7.6
2018/06/02 15:47:32:30750,101640,7.5
2018/06/02 15:47:32:30770,101660,7.5
2018/06/02 15:47:32:30790,101680,7.3
2018/06/02 15:47:32:30810,101700,7.2
2018/06/02 15:47:32:30830,101720,7.1
2018/06/02 15:47:32:30850,101740,7.3
2018/06/02 15:47:32:30870,101760,7.6
2018/06/02 15:47:32:30890,101780,8.1
2018/06/02 15:47:32:30910,101800,8.7
2018/06/02 15:47:32:30930,101820,9.4
2018/06/02 15:47:32:30950,101840,10.2
2018/06/02 15:47:32:30970,101860,11
2018/06/02 15:47:32:30990,101880,11.8
2018/06/02 15:47:32:31010,101900,12.6
2018/06/02 15:47:32:31030,101920,13.3
2018/06/02 15:47:32:31050,101940,13.9
2018/06/02 15:47:32:31070,101960,14.3
2018/06/02 15:47:32:31090,101980,14.6
2018/06/02 15:47:32:31110,102000,14.7
2018/06/02 15:47:32:31130,102020,14.7
2018/06/02 15:47:32:31150,102040,14.5
2018/06/02 15:47:32:31170,102060,14.3
2018/06/02 15:47:32:31190,102080,14
2018/06/02 15:47:32:31210,102100,13.6
2018/06/02 15:47:32:31230,102120,13.2
2018/06/02 15:47:32:31250,102140,12.8
2018/06/02 15:47:32:31270,102160,12.4
2018/06/02 15:47:32:31290,102180,12.2
2018/06/02 15:47:32:31310,102200,12
2018/06/02 15:47:32:31330,102220,11.9
2018/06/02 15:47:32:31350,102240,11.6
2018/06/02 15:47:32:31370,102260,11.4
2018/06/02 15:47:32:31390,102280,11
2018/06/02 15:47:32:31410,102300,10.7
2018/06/02 15:47:32:31430,102320,10.5
2018/06/02 15:47:32:31450,102340,10.2
2018/06/02 15:47:32:31470,102360,10
2018/06/02 15:47:32:31490,102380,9.8
2018/06/02 15:47:32:31510,102400,9.6
2018/06/02 15:47:32:31530,102420,9.5
2018/06/02 15:47:32:31550,102440,9.4
2018/06/02 15:47:32:31570,102460,9.3
2018/06/02 15:47:32:31590,102480,9.2
2018/06/02 15:47:32:31610,102500,9.2
2018/06/02 15:47:32:31630,102520,9.1
2018/06/02 15:47:32:31650,102540,9
2018/06/02 15:47:32:31670,102560,8.9
2018/06/02 15:47:32:31690,102580,8.8
2018/06/02 15:47:32:31710,102600,8.6
2018/06/02 15:47:32:31730,102620,8.5
2018/06/02 15:47:32:31750,102640,8.3
2018/06/02 15:47:32:31770,102660,8.1
2018/06/02 15:47:32:31790,102680,7.9
2018/06/02 15:47:32:31810,102700,7.7
2018/06/02 15:47:32:31830,102720,7.6
2018/06/02 15:47:32:31850,102740,7.7
2018/06/02 15:47:32:31870,102760,8
2018/06/02 15:47:32:31890,102780,8.5
2018/06/02 15:47:32:31910,102800,9.1
2018/06/02 15:47:32:31930,102820,9.8
2018/06/02 15:47:32:31950,102840,10.6
2018/06/02 15:47:32:31970,102860,11.5
2018/06/02 15:47:32:31990,102880,12.3
2018/06/02 15:47:32:32010,102900,13.2
2018/06/02 15:47:32:32030,102920,14
2018/06/02 15:47:32:32050,102940,14.7
2018/06/02 15:47:32:32070,102960,15.2
2018/06/02 15:47:32:32090,102980,15.7
2018/06/02 15:47:32:32110,103000,16
2018/06/02 15:47:32:32130,103020,16.1
2018/06/02 15:47:32:32150,103040,16
2018/06/02 15:47:32:32170,103060,15.8
2018/06/02 15:47:32:32190,103080,15.5
2018/06/02 15:47:32:32210,103100,15.1
2018/06/02 15:47:32:32230,103120,14.6
2018/06/02 15:47:32:32250,103140,14
2018/06/02 15:47:32:32270,103160,13.5
2018/06/02 15:47:32:32290,103180,13
2018/06/02 15:47:32:32310,103200,12.6
2018/06/02 15:47:32:32330,103220,12.3
2018/06/02 15:47:32:32350,103240,11.9
2018/06/02 15:47:32:32370,103260,11.5
2018/06/02 15:47:32:32390,103280,11.1
2018/06/02 15:47:32:32410,103300,10.7
2018/06/02 15:47:32:32430,103320,10.4
2018/06/02 15:47:32:32450,103340,10.1
2018/06/02 15:47:32:32470,103360,9.9
2018/06/02 15:47:32:32490,103380,9.7
2018/06/02 15:47:32:32510,103400,9.5
2018/06/02 15:47:32:32530,103420,9.4
2018/06/02 15:47:32:32550,103440,9.3
2018/06/02 15:47:32:32570,103460,9.2
2018/06/02 15:47:32:32590,103480,9.1
2018/06/02 15:47:32:32610,103500,9
2018/06/02 15:47:32:32630,103520,8.9
2018/06/02 15:47:32:32650,103540,8.7
2018/06/02 15:47:32:32670,103560,8.6
2018/06/02 15:47:32:32690,103580,8.5
2018/06/02 15:47:32:32710,103600,8.4
2018/06/02 15:47:32:32730,103620,8.3
2018/06/02 15:47:32:32750,103640,8.2
2018/06/02 15:47:32:32770,103660,8.1
2018/06/02 15:47:32:32790,103680,8
2018/06/02 15:47:32:32810,103700,7.8
2018/06/02 15:47:32:32830,103720,7.7
2018/06/02 15:47:32:32850,103740,7.8
2018/06/02 15:47:32:32870,103760,8
2018/06/02 15:47:32:32890,103780,8.4
2018/06/02 15:47:32:32910,103800,9
2018/06/02 15:47:32:32930,103820,9.6
2018/06/02 15:47:32:32950,103840,10.3
2018/06/02 15:47:32:32970,103860,11.1
2018/06/02 15:47:32:32990,103880,12
2018/06/02 15:47:32:33010,103900,12.8
2018/06/02 15:47:32:33030,103920,13.6
2018/06/02 15:47:32:33050,103940,14.3
2018/06/02 15:47:32:33070,103960,14.9
2018/06/02 15:47:32:33090,103980,15.3
2018/06/02 15:47:32:33110,104000,15.6
2018/06/02 15:47:32:33130,104020,15.7
2018/06/02 15:47:32:33150,104040,15.7
2018/06/02 15:47:32:33170,104060,15.5
2018/06/02 15:47:32:33190,104080,15.2
2018/06/02 15:47:32:33210,104100,14.7
2018/06/02 15:47:32:33230,104120,14.2
2018/06/02 15:47:32:33250,104140,13.7
2018/06/02 15:47:32:33270,104160,13.1
2018/06/02 15:47:32:33290,104180,12.5
2018/06/02 15:47:32:33310,104200,12.1
2018/06/02 15:47:32:33330,104220,11.7
2018/06/02 15:47:32:33350,104240,11.3
2018/06/02 15:47:32:33370,104260,10.9
2018/06/02 15:47:32:33390,104280,10.5
2018/06/02 15:47:32:33410,104300,10.1
2018/06/02 15:47:32:33430,104320,9.8
2018/06/02 15:47:32:33450,104340,9.6
2018/06/02 15:47:32:33470,104360,9.4
2018/06/02 15:47:32:33490,104380,9.2
2018/06/02 15:47:32:33510,104400,9
2018/06/02 15:47:32:33530,104420,8.9
2018/06/02 15:47:32:33550,104440,8.8
2018/06/02 15:47:32:33570,104460,8.7
2018/06/02 15:47:32:33590,104480,8.6
2018/06/02 15:47:32:33610,104500,8.6
2018/06/02 15:47:32:33630,104520,8.4
2018/06/02 15:47:32:33650,104540,8.3
2018/06/02 15:47:32:33670,104560,8.2
2018/06/02 15:47:32:33690,104580,8.1
2018/06/02 15:47:32:33710,104600,7.9
2018/06/02 15:47:32:33730,104620,7.8
2018/06/02 15:47:32:33750,104640,7.7
2018/06/02 15:47:32:33770,104660,7.6
2018/06/02 15:47:32:33790,104680,7.4
2018/06/02 15:47:32:33810,104700,7.3
2018/06/02 15:47:32:33830,104720,7.3
2018/06/02 15:47:32:33850,104740,7.4
2018/06/02 15:47:32:33870,104760,7.9
2018/06/02 15:47:32:33890,104780,8.4
2018/06/02 15:47:32:33910,104800,9.1
2018/06/02 15:47:32:33930,104820,9.9
2018/06/02 15:47:32:33950,104840,10.8
2018/06/02 15:47:32:33970,104860,11.7
2018/06/02 15:47:32:33990,104880,12.7
2018/06/02 15:47:32:34010,104900,13.7
2018/06/02 15:47:32:34030,104920,14.5
2018/06/02 15:47:32:34050,104940,15.3
2018/06/02 15:47:32:34070,104960,15.9
2018/06/02 15:47:32:34090,104980,16.3
2018/06/02 15:47:32:34110,105000,16.4
2018/06/02 15:47:32:34130,105020,16.4
