Name:,123
Gender:,Female
Age:,
Disease:,
Datetime:,20191027_130614
2019/10/27 13:06:23:724,9020,10.29
2019/10/27 13:06:23:744,9040,10.19
2019/10/27 13:06:23:764,9060,10.06
2019/10/27 13:06:23:784,9080,9.93
2019/10/27 13:06:23:804,9100,9.81
2019/10/27 13:06:23:824,9120,9.7
2019/10/27 13:06:23:844,9140,9.6
2019/10/27 13:06:23:864,9160,9.56
2019/10/27 13:06:23:884,9180,9.58
2019/10/27 13:06:23:904,9200,9.66
2019/10/27 13:06:23:924,9220,9.77
2019/10/27 13:06:23:944,9240,9.9
2019/10/27 13:06:23:964,9260,10.02
2019/10/27 13:06:23:984,9280,10.16
2019/10/27 13:06:24:004,9300,10.29
2019/10/27 13:06:24:024,9320,10.39
2019/10/27 13:06:24:044,9340,10.48
2019/10/27 13:06:24:064,9360,10.53
2019/10/27 13:06:24:084,9380,10.55
2019/10/27 13:06:24:104,9400,10.51
2019/10/27 13:06:24:124,9420,10.48
2019/10/27 13:06:24:144,9440,10.38
2019/10/27 13:06:24:164,9460,10.28
2019/10/27 13:06:24:184,9480,10.18
2019/10/27 13:06:24:204,9500,10.1
2019/10/27 13:06:24:224,9520,10.04
2019/10/27 13:06:24:244,9540,10.01
2019/10/27 13:06:24:264,9560,10
2019/10/27 13:06:24:284,9580,10.04
2019/10/27 13:06:24:304,9600,10.07
2019/10/27 13:06:24:324,9620,10.08
2019/10/27 13:06:24:344,9640,10.14
2019/10/27 13:06:24:364,9660,10.16
2019/10/27 13:06:24:384,9680,10.16
2019/10/27 13:06:24:404,9700,10.12
2019/10/27 13:06:24:424,9720,10.07
2019/10/27 13:06:24:444,9740,9.98
2019/10/27 13:06:24:464,9760,9.87
2019/10/27 13:06:24:484,9780,9.77
2019/10/27 13:06:24:504,9800,9.66
2019/10/27 13:06:24:524,9820,9.56
2019/10/27 13:06:24:544,9840,9.5
2019/10/27 13:06:24:564,9860,9.44
2019/10/27 13:06:24:584,9880,9.42
2019/10/27 13:06:24:604,9900,9.43
2019/10/27 13:06:24:624,9920,9.45
2019/10/27 13:06:24:644,9940,9.48
2019/10/27 13:06:24:664,9960,9.53
2019/10/27 13:06:24:684,9980,9.58
2019/10/27 13:06:24:704,10000,9.63
2019/10/27 13:06:24:724,10020,9.66
2019/10/27 13:06:24:744,10040,9.69
2019/10/27 13:06:24:764,10060,9.69
2019/10/27 13:06:24:784,10080,9.67
2019/10/27 13:06:24:804,10100,9.65
2019/10/27 13:06:24:824,10120,9.64
2019/10/27 13:06:24:844,10140,9.61
2019/10/27 13:06:24:864,10160,9.59
2019/10/27 13:06:24:884,10180,9.57
2019/10/27 13:06:24:904,10200,9.54
2019/10/27 13:06:24:924,10220,9.49
2019/10/27 13:06:24:944,10240,9.46
